training_rank,lookback,lookforward,train_trades,train_dropped_data_end_trades,train_win_rate_pct,train_avg_r,train_median_r,train_profit_factor,train_total_return_pct,train_ambiguous_intrabar_events,train_ambiguous_pct,validation_trades,validation_dropped_data_end_trades,validation_win_rate_pct,validation_avg_r,validation_median_r,validation_profit_factor,validation_total_return_pct,validation_ambiguous_intrabar_events,validation_ambiguous_pct,full_trades,full_dropped_data_end_trades,full_win_rate_pct,full_avg_r,full_median_r,full_profit_factor,full_total_return_pct,full_ambiguous_intrabar_events,full_ambiguous_pct
1.0,6,4,4202.0,0.0,26.92,0.0405,0.0,1.0633,110.02,177.0,4.21,1442.0,1.0,27.12,0.0804,0.0,1.1631,71.5,42.0,2.91,5644,1,26.97,0.0507,0.0,1.0979,260.18,219,3.88
2.0,13,3,2787.0,1.0,26.44,0.0556,0.0,1.1004,100.79,120.0,4.31,1047.0,1.0,28.46,0.1156,0.0,1.2834,77.69,34.0,3.25,3835,1,27.01,0.0728,0.0,1.1678,262.13,154,4.02
3.0,19,6,1955.0,1.0,27.83,0.0691,0.0,1.1387,86.22,78.0,3.99,761.0,1.0,27.6,0.1038,0.0,1.2148,45.37,16.0,2.1,2717,1,27.79,0.0799,0.0,1.1713,174.78,94,3.46
4.0,6,5,4008.0,0.0,26.87,0.0357,0.0,1.0597,85.07,182.0,4.54,1406.0,1.0,26.67,0.0839,0.0,1.1833,73.74,40.0,2.84,5414,1,26.82,0.0482,0.0,1.1022,221.54,222,4.1
5.0,5,5,4412.0,0.0,26.18,0.0324,0.0,1.0504,83.1,208.0,4.71,1595.0,1.0,26.08,0.0445,0.0,1.0974,36.96,50.0,3.13,6007,1,26.15,0.0356,0.0,1.0643,150.77,258,4.29
6.0,20,10,1665.0,0.0,27.57,0.0781,0.0,1.1531,82.87,67.0,4.02,623.0,0.0,28.41,0.0947,0.0,1.1866,32.03,16.0,2.57,2288,0,27.8,0.0826,0.0,1.1654,141.44,83,3.63
7.0,12,3,2978.0,1.0,26.12,0.0453,0.0,1.077,80.78,132.0,4.43,1069.0,1.0,28.25,0.0907,0.0,1.2065,57.74,33.0,3.09,4048,1,26.7,0.0581,0.0,1.1212,189.44,165,4.08
8.0,17,7,2023.0,1.0,26.99,0.0633,0.0,1.1293,79.65,87.0,4.3,801.0,0.0,28.46,0.1273,0.0,1.2698,62.73,19.0,2.37,2824,0,27.44,0.0822,0.0,1.1883,195.29,106,3.75
9.0,18,6,2021.0,1.0,27.31,0.0628,0.0,1.1282,78.63,84.0,4.16,767.0,1.0,28.68,0.133,0.0,1.2926,62.93,15.0,1.96,2789,1,27.72,0.0832,0.0,1.1948,195.41,99,3.55
10.0,7,4,3818.0,0.0,26.69,0.0343,0.0,1.053,73.99,161.0,4.22,1336.0,1.0,27.02,0.0734,0.0,1.1456,57.48,37.0,2.77,5154,1,26.78,0.0444,0.0,1.0836,174.0,198,3.84
11.0,17,6,2094.0,1.0,27.22,0.0578,0.0,1.1172,73.1,83.0,3.96,816.0,1.0,28.31,0.1238,0.0,1.2652,61.82,20.0,2.45,2911,1,27.55,0.0773,0.0,1.1784,184.32,103,3.54
12.0,4,4,5178.0,1.0,26.32,0.0261,0.0,1.0435,72.92,256.0,4.94,1841.0,1.0,25.26,0.0228,0.0,1.0362,17.88,52.0,2.82,7020,1,26.05,0.0254,0.0,1.0413,104.85,308,4.39
