lookback,lookforward,trades,dropped_data_end_trades,win_rate_pct,avg_r,median_r,profit_factor,total_return_pct,ambiguous_intrabar_events,ambiguous_pct
1,1,13048,1,25.34,0.0001,0.0,0.9882,-25.2,1005,7.7
2,1,9864,1,25.08,-0.0106,0.0,0.9616,-52.6,631,6.4
2,2,8596,1,25.62,-0.0054,0.0,0.9814,-33.89,507,5.9
3,1,8051,1,25.04,-0.0129,0.0,0.9626,-50.36,476,5.91
3,2,7121,1,24.97,-0.0232,0.0,0.9523,-62.52,392,5.5
3,3,6510,1,24.93,-0.0295,0.0,0.9325,-66.96,337,5.18
4,1,6874,1,25.11,-0.0116,0.0,0.967,-43.94,377,5.48
4,2,6153,1,25.22,-0.019,0.0,0.9621,-51.17,322,5.23
4,3,5515,1,25.68,0.0074,0.0,1.005,7.6,271,4.91
4,4,5178,1,26.32,0.0261,0.0,1.0435,72.92,256,4.94
5,1,6076,1,25.28,-0.0066,0.0,0.973,-29.25,301,4.95
5,2,5541,1,24.91,-0.037,0.0,0.9284,-68.12,257,4.64
5,3,4975,1,25.35,-0.004,0.0,0.9836,-19.77,213,4.28
5,4,4617,1,26.14,0.0234,0.0,1.0339,52.68,206,4.46
5,5,4412,0,26.18,0.0324,0.0,1.0504,83.1,208,4.71
6,1,5524,1,25.22,-0.0138,0.0,0.9625,-40.1,269,4.87
6,2,4993,1,25.34,-0.0222,0.0,0.9564,-48.53,226,4.53
6,3,4556,1,26.54,0.027,0.0,1.0383,64.79,203,4.46
6,4,4202,0,26.92,0.0405,0.0,1.0633,110.02,177,4.21
6,5,4008,0,26.87,0.0357,0.0,1.0597,85.07,182,4.54
6,6,3809,0,26.86,0.0297,0.0,1.0431,60.05,175,4.59
7,1,5021,1,24.86,-0.0123,0.0,0.9634,-35.38,239,4.76
7,2,4602,1,25.21,-0.0117,0.0,0.9719,-31.27,210,4.56
7,3,4152,1,25.75,0.0299,0.0,1.0441,65.95,187,4.5
7,4,3818,0,26.69,0.0343,0.0,1.053,73.99,161,4.22
